@,24976,24968
39589,%p,25564,25569
39590,@,25653,25594
39591,@,25654,25653
39592,@,25655,25653
39593,@,25656,25653
39594,@,25657,25594
39595,@,25658,25594
39596,@,25659,25594
39597,@,25660,25594
39598,@,25662,25661
39599,@,25663,25661
39600,@,25664,25661
39601,@,25665,25594
39602,@,25666,25594
39603,@,25667,25594
39604,@,25668,25594
39605,@,25669,25594
39606,@,25670,25669
39607,@,25671,25669
39608,@,25672,25594
39609,@,25673,25594
39610,@,25674,25594
39611,@,25675,25594
39612,@,25676,25594
39613,@,25677,25594
39614,@,25678,25594
39615,@,25679,25678
39616,@,25681,25680
39617,@,25682,25680
39618,@,25683,25680
39619,@,25684,25594
39620,@,25685,25684
39621,@,25686,25684
39622,@,25687,25594
39623,@,25688,25594
39624,@,25689,25594
39625,@,25690,25594
39626,@,25691,25594
39627,@,25692,25594
39628,@,25693,25594
39629,@,25694,25594
39630,@,25695,25594
39631,@,25696,25594
39632,@,25697,25594
39633,@,25698,25697
39634,@,25700,25594
39635,@,25701,25594
39636,@,25702,25594
39637,@,25703,25594
39638,@,25704,25594
39639,@,25705,25594
39640,@,25706,25992
39641,@,25707,25992
39642,@,25708,25992
39643,@,25709,25992
39644,@,25710,25992
39645,@,25711,25992
39646,@,25712,25992
39647,@,25713,25992
39648,@,25714,25992
39649,@,25715,25992
39650,@,25716,25992
39651,@,25717,25992
39652,@,25719,25992
39653,@,25720,25992
39654,@,25721,25992
39655,@,25722,25992
39656,@,25723,25992
39657,@,25724,25992
39658,@,25725,25724
39659,@,25726,25724
39660,@,25727,25724
39661,@,25728,25992
39662,@,25729,25992
39663,@,25730,25992
39664,@,25731,25992
39665,@,25732,25992
39666,@,25733,25992
39667,@,25734,25733
39668,@,25735,25768
39669,@,25736,25733
39670,@,25738,25733
39671,@,25739,25733
39672,@,25740,25739
39673,@,25741,25739
39674,@,25742,25733
39675,@,25743,25992
39676,@,25744,25992
39677,@,25745,25992
39678,@,25746,25992
39679,@,25747,25746
39680,@,25748,25746
39681,@,25749,25992
39682,@,25750,25992
39683,@,25751,25992
39684,@,25752,25992
39685,@,25753,25992
39686,@,25754,25992
39687,@,25755,25992
39688,@,25757,25992
39689,@,25652,25594
39690,@,25760,25992
39691,@,25761,25760
39692,@,25762,25760
39693,@,25763,25760
39694,@,25764,26018
39695,@,25765,25992
39696,@,25766,25992
39697,@,25767,25992
39698,@,25769,25992
39699,@,25770,25992
39700,@,25771,25992
39701,@,25772,25992
39702,@,25773,25176
39703,@,25774,25773
39704,@,25775,25773
39705,@,25776,25992
39706,@,25777,25992
39707,@,25778,25992
39708,@,25779,25992
39709,@,25780,25784
39710,@,25781,25992
39711,@,25782,25784
39712,@,25783,25784
39713,@,25784,25992
39714,@,25785,25992
39715,@,25786,25992
39716,@,25788,25992
39717,@,25789,25992
39718,@,25790,25789
39719,@,25791,25789
39720,@,25792,25789
39721,@,25793,25992
39722,@,25794,25793
39723,@,25795,25793
39724,@,25796,25992
39725,@,25797,25992
39726,@,25798,25992
39727,@,25799,25992
39728,@,25800,25770
39729,@,25801,25992
39730,@,25802,25992
39731,@,25803,25992
39732,@,25804,25992
39733,@,25805,25992
39734,@,25807,25992
39735,@,25808,25992
39736,@,25809,25992
39737,@,25810,25992
39738,@,25811,25992
39739,@,25812,25992
39740,@,25813,25992
39741,@,25814,25813
39742,@,25815,25813
39743,@,25816,25992
39744,@,25817,25992
39745,@,25818,25992
39746,@,25819,25992
39747,@,25820,25992
39748,@,25821,25992
39749,@,25822,25992
39750,@,25823,25992
39751,@,25824,25992
39752,@,25826,25992
39753,@,25827,25992
