,73143,,,
1636082,70655,2954,,,
1636083,70655,45957,,,
1636085,70655,2939,,,
1636086,70655,38775,,,
1636087,70655,37237,,,
1636088,70655,3441,,,
1636089,70655,38766,,,
1636090,70655,41834,,,
1636092,70655,37220,,,
1636093,70655,4452,,,
1636094,70655,29539,,,
1636095,70655,26975,,,
1636096,70655,41310,,,
1636097,70655,40773,,,
1636099,70655,39236,,,
1636100,70655,60223,,,
1636101,70655,57663,,,
1636102,70655,25402,,,
1636103,70655,41275,,,
1636104,70655,24891,,,
1636106,70655,41267,,,
1636107,70655,27437,,,
1636108,70655,42278,,,
1636109,70655,25889,,,
1636110,70655,19229,,,
1636111,70655,27928,,,
1636113,70655,27924,,,
1636114,70655,59667,,,
1636115,70655,27921,,,
1636116,70655,23825,,,
1636117,70655,15626,,,
1636118,70655,39683,,,
1636120,70655,39166,,,
1636121,70655,23295,,,
1636122,70655,23294,,,
1636123,70655,19696,,,
1636124,70655,57582,,,
1636125,70655,39661,,,
1636127,70655,39134,,,
1636128,70655,39129,,,
1636129,70655,30937,,,
1636130,70655,38103,,,
1636131,70655,51925,,,
1636132,70655,38098,,,
1636134,70655,3277,,,
1636135,70655,51914,,,
1636136,70655,41674,,,
1636137,70655,57033,,,
1636139,70655,44211,,,
1636140,70655,39093,,,
1636141,70655,39092,,,
1636143,70655,44209,,,
1636144,70655,3249,,,
1636145,70655,38064,,,
1636146,70655,62639,,,
1636147,70655,60077,,,
1636148,70655,56492,,,
1636150,70655,62113,,,
1636151,70655,30368,,,
1636152,70655,29846,,,
1636153,70655,101519,,,
1636154,70655,65164,,,
1636155,70655,30346,,,
1636157,70655,24709,,,
1636158,70655,14978,,,
1636159,70655,39554,,,
1636160,70655,14977,,,
1636161,70655,59514,,,
1636162,70655,17016,,,
1636164,70655,27764,,,
1636165,70655,26739,,,
1636166,70655,33906,,,
1636167,70655,29290,,,
1636168,70655,28259,,,
1636169,70655,23131,,,
1636171,70655,27729,,,
1636172,70655,38987,,,
1636173,70655,23115,,,
1636174,70655,14409,,,
1636175,70655,14406,,,
1636176,70655,24644,,,
1636178,70655,24642,,,
1636179,70655,34879,,,
1636180,70655,24637,,,
1636181,70655,39484,,,
1636182,70655,18988,,,
1636183,70655,56364,,,
1636185,70655,33834,,,
1636186,70655,27688,,,
1636187,70655,38947,,,
1636188,70655,34,,,
1636189,70655,30,,,
1636190,70655,12830,,,
1636192,70655,35352,,,
1636193,70655,35343,,,
1636194,70655,12,,,
1636195,70655,22541,,,
1636196,70655,24587,,,
1636197,70655,48651,,,
1636199,70655,1544,,,
1636200,70655,37379,,,
1636201,70699,31441,,,
1636202,70699,56329,,,
1636203,70699,27616,,,
1636204,70690,67956,,,
1636206,70690,75374,,,
1636207,70690,75372,,,
1636208,70690,71146,,,
1636209,70690,73577,,,
1636210,70690,75369,,,
1636211,70690,71138,,,
1636213,70690,73819,,,
1636214,70690,68945,,,
1636215,70690,72268,,,
1636216,70690,66234,,,
1636217,70690,73910,,,
1636218,70690,73908,,,
1636220,70690,75684,,,
1636221,70690,75685,,,
1636222,70690,76967,,,
1636223,70690,74022,,,
1636224,70690,76965,,,
1636225,70690,77092,,,
1636227,70690,75682,,,
1636228,70690,75681,,,
1636229,70690,72223,,,
1636230,70690,77087,,,
1636231,70690,75677,,,
1636232,70690,75672,,,
1636234,70691,17980,,,
1636235,70691,16951,,,
1636236,70691,19021,,,
1636237,70691,15499,,,
1636238,70691,73672,,,
1636239,70691,59976,,,
1636241,70694,86126,,,
1636242,70694,86124,,,
1636243,70694,89898,,,
1636244,70701,41151,,,
1636246,70701,31577,,,
1636247,70701,26742,,,
1636248,70701,45971,,,
1636250,70701,17777,,,
1636251,70701,24304,,,
1636252,70701,62735,,,
1636253,70701,17773,,,
1636254,70701,23976,,,
1636255,70701,28870,,,
1636257,70701,60450,,,
1636258,70701,48897,,,
1636259,70706,62171,,,
1636260,70706,24066,,,
1636261,70708,59340,,,
1636262,70708,38379,,,
1636264,70668,9820,,,
1636265,70668,26523,,,
1636266,70668,9817,,,
1636267,70668,24660,,,
1636268,70668,9808,,,
1636269,70668,17135,,,
1636271,70634,50754,,,
1636272,70634,53016,,,
1636273,70702,32667,,,
1636274,70702,31353,,,
1636275,70702,31347,,,
1636276,70702,62187,,,
1636278,70702,32899,,,
1636279,70671,3295,,,
1636280,70671,20141,,,
1636281,70705,83583,,,
1636282,70705,83589,,,
1636283,70704,20092,,,
1636285,70704,2936,,,
1636286,70704,27756,,,
1636287,70704,39526,,,
1636288,70704,26979,,,
1636289,70704,24660,,,
1636290,70704,32463,,,
1636292,70704,59976,,,
1636293,70704,25926,,,
1636294,70704,34885,,,
1636295,70704,59845,,,
1636296,70704,59460,,,
1636297,70704,1727,,,
1636299,70704,25277,,,
1636300,70704,17980,,,
1636301,70704,27962,,,
1636302,70704,47417,,,
1636303,70704,59317,,,
1636304,70704,22067,,,
1636306,70704,16944,,,
1636307,70704,41264,,,
1636308,70704,16943,,,
1636309,70704,34347,,,
1636310,70704,16939,,,
1636311,70704,41896,,,
1636313,70704,26523,,,
1636314,70704,59667,,,
1636315,70704,15499,,,
1636316,70704,31496,,,
