id,uri,lemma,pos,morpho,principal_parts,prosody,validated
10838,α11449,ἀπαρέγκλιτος,a,aps---cn2-,ἀπαρέγκλιτος ἀπαρέγκλιτος ἀπαρέγκλιτον,ἀπαρέγκλιτος,0
10849,α11460,ἀπαρθένευτος,a,aps---cn2-,ἀπαρθένευτος ἀπαρθένευτος ἀπαρθένευτον,ἀπαρθένευτος,0
10869,α11480,ἀπαρνητικός,a,aps---mn1-,ἀπαρνητικός ἀπαρνητική ἀπαρνητικόν,ἀπαρνητικός,0
10901,α11512,ἄπαρχος,n,n-s---mn2-,ἀπάρχου,ἄπαρχος,0
10902,α11513,ἀπάρχω,v,----------,,ἀπάρχω,0
10911,α11521,ἀπαστία,n,n-s---fn1l,ἀπαστίας,ἀπαστία,0
10949,α11556,ἀπάτωρος,a,aps---cn2-,ἀπάτωρος ἀπάτωρος ἀπάτωρον,ἀπάτωρος,0
10959,α11566,ἀπαύλια,n,n-p---nn2-,ἀπαυλίων,ἀπαύλια,0
11002,α11613,ἀπειθήνιος,a,aps---cn2-,ἀπειθήνιος ἀπειθήνιος ἀπειθήνιον,ἀπειθήνιος,0
11014,α11625,ἀπειλή,n,n-s---fn1e,ἀπειλῆς,ἀπειλή,0
11016,α11627,ἀπείλησις,n,n-s---fn3v,ἀπειλησέως,ἀπείλησις,0
11030,α11639,ἀπείρανδρος,a,aps---cn2-,ἀπείρανδρος ἀπείρανδρος ἀπείρανδρον,ἀπείρανδρος,0
11055,α11663,ἀπειροθάλαττος,a,aps---cn2-,ἀπειροθάλαττος ἀπειροθάλαττος ἀπειροθάλαττον,ἀπειροθάλαττος,0
11060,α11668,ἀπειρολεχής,a,aps---cn5s,ἀπειρολεχής ἀπειρολεχής ἀπειρολεχές,ἀπειρολεχής,0
11077,α11685,ἀπειρότοκος,a,aps---cn2-,ἀπειρότοκος ἀπειρότοκος ἀπειρότοκον,ἀπειρότοκος,0
11110,α11718,ἄπεκτος,a,aps---cn2-,ἄπεκτος ἄπεκτος ἄπεκτον,ἄπεκτος,0
11113,α11721,ἀπέλασις,n,n-s---fn3v,ἀπελασέως,ἀπέλασις,0
11162,α11768,ἀπενθής,a,aps---cn5s,ἀπενθής ἀπενθής ἀπενθές,ἀπενθής,0
11165,α11771,ἀπενιαύτησις,n,n-s---fn3v,ἀπενιαυτησέως,ἀπενιαύτησις,0
11170,α11776,ἀπεντεῦθεν,r,----------,,ἀπεντεῦθεν,0
11180,α11786,ἀπέπαντος,a,aps---cn2-,ἀπέπαντος ἀπέπαντος ἀπέπαντον,ἀπέπαντος,0
11200,α11808,ἀπεργαστικός,a,aps---mn1-,ἀπεργαστικός ἀπεργαστική ἀπεργαστικόν,ἀπεργαστικός,0
11218,α11826,ἀπερίγραφος,a,aps---cn2-,ἀπερίγραφος ἀπερίγραφος ἀπερίγραφον,ἀπερίγραφος,0
11226,α11834,ἀπερικάθαρτος,a,aps---cn2-,ἀπερικάθαρτος ἀπερικάθαρτος ἀπερικάθαρτον,ἀπερικάθαρτος,0
11257,α11865,ἀπεριττότης,n,n-s---fn3t,ἀπεριττότητος,ἀπεριττότης,0
11258,α11866,ἀπερίττωτος,a,aps---cn2-,ἀπερίττωτος ἀπερίττωτος ἀπερίττωτον,ἀπερίττωτος,0
10704,α11313,ἀπαναίνομαι,v,----------,,ἀπαναίνομαι,0
5605,α06235,ἀμφίρυτος,a,----------,,ἀμφίρυτος,0
10705,α11314,ἀπαναισιμόω,v,----------,,ἀπαναισιμόω,0
11366,α11972,ἀπημονία,n,n-s---fn1l,ἀπημονίας,ἀπημονία,0
5613,α06244,ἀμφισβήτημα,n,n-s---nn3t,ἀμφισβητήματος,ἀμφισβήτημα,0
11370,α11976,ἀπήνεμος,a,aps---cn2-,ἀπήνεμος ἀπήνεμος ἀπήνεμον,ἀπήνεμος,0
11421,α12022,ἄπιξις,n,n-s---fn3v,ἀπιξέως,ἄπιξις,0
11422,α12023,ἀπιοειδής,a,aps---cn5s,ἀπιοειδής ἀπιοειδής ἀπιοειδές,ἀπιοειδής,0
11447,α12047,ἀπίτευτος,a,aps---cn2-,ἀπίτευτος ἀπίτευτος ἀπίτευτον,ἀπίτευτος,0
11469,α12070,ἀπλεόναστος,a,aps---cn2-,ἀπλεόναστος ἀπλεόναστος ἀπλεόναστον,ἀπλεόναστος,0
11473,α12074,ἄπλευρος,a,aps---cn2-,ἄπλευρος ἄπλευρος ἄπλευρον,ἄπλευρος,0
11479,α12080,ἀπλήθυντος,a,aps---cn2-,ἀπλήθυντος ἀπλήθυντος ἀπλήθυντον,ἀπλήθυντος,0
11506,α12106,ἄπλοος,a,aps---cn2-,ἄπλοος ἄπλοος ἄπλοον,ἄπλοος,0
11524,α12124,ἁπλωτέον,a,----------,,ἁπλωτέον,0
11525,α12125,ἁπλωτικός,a,aps---mn1-,ἁπλωτικός ἁπλωτική ἁπλωτικόν,ἁπλωτικός,0
11550,α12153,ἀποβασιλεύς,n,n-s---mn3v,ἀποβασιλέως,ἀποβασιλεύς,0
11578,α12181,ἀπόβλησις,n,n-s---fn3v,ἀποβλησέως,ἀπόβλησις,0
11612,α12212,ἀποβώμιος,a,aps---cn2-,ἀποβώμιος ἀποβώμιος ἀποβώμιον,ἀποβώμιος,0
11633,α12234,ἀπογέννησις,n,n-s---fn3v,ἀπογεννησέως,ἀπογέννησις,0
