φ01352,φιλοπροσηγορία,n,n-s---fn1l,φιλοπροσηγορίας,φιλοπροσηγορία,0
107352,φ01729,φλογόλευκος,a,aps---cn2-,φλογόλευκος φλογόλευκος φλογόλευκον,φλογόλευκος,0
107353,φ01730,φλογόω,v,----------,,φλογόω,0
107354,φ01732,φλογώδης,a,aps---cn3s,φλογώδης φλογώδης φλογώ͂δες,φλογώδης,0
107355,φ01733,φλόγωμα,n,n-s---nn3t,φλογώματος,φλόγωμα,0
107301,φ01680,φλέος,n,n-s---mn2-,φλέου,φλέος,0
107358,φ01736,φλογώψ,n,----------,,φλογώψ,0
107359,φ01737,φλόη,n,n-s---fn1e,φλόης,φλόη,0
107361,φ01739,φλοιδέω,v,----------,,φλοιδέω,0
107363,φ01741,φλόϊνος,a,aps---mn1-,φλόϊνος φλοΐνη φλόϊνον,φλόϊνος,0
107366,φ01744,φλοιόρριζος,a,aps---cn2-,φλοιόρριζος φλοιόρριζος φλοιόρριζον,φλοιόρριζος,0
107367,φ01745,φλοιός,n,n-s---mn2-,,φλοιός,0
107368,φ01746,φλοιόω,v,----------,,φλοιόω,0
107369,φ01766,φλοῖσβος,n,n-s---mn2-,φλοίσβου,φλοῖσβος,0
107370,φ01747,φλοϊσμός,n,----------,,φλοϊσμός,0
107372,φ01750,φλοίω,v,----------,,φλοίω,0
107373,φ01751,φλοιώδης,a,aps---cn3s,φλοιώδης φλοιώδης φλοιώ͂δες,φλοιώδης,0
107374,φ01749,φλοιῶτις,n,n-s---fn3d,φλοιώτιδος,φλοιῶτις,0
107375,φ01752,φλοκτίς,n,n-s---fn3d,φλοκτίδος,φλοκτίς,0
107376,φ01753,φλομίς,n,n-s---fn3d,φλομίδος,φλομίς,0
107377,φ01754,φλόμος,n,n-s---mn2-,φλόμου,φλόμος,0
107378,φ01755,φλομώδης,a,aps---cn3s,φλομώδης φλομώδης φλομώ͂δες,φλομώδης,0
107379,φ01757,φλονίς,n,n-s---fn3d,φλονίδος,φλονίς,0
107380,φ01759,φλονῖτις,n,n-s---fn3d,φλονίτιδος,φλονῖτις,0
107381,φ01758,φλόνος,n,n-s---mn2-,φλόνου,φλόνος,0
107382,φ01760,φλόξ,n,n-s---fn3d,φλογός,φλόξ,0
107384,φ01762,φλόρος,n,n-s---mn2-,φλόρου,φλόρος,0
107385,φ01767,φλουάζω,v,----------,,φλουάζω,0
107386,φ01768,φλούδιον,n,n-s---nn2-,φλουδίου,φλούδιον,0
107388,φ01765,φλοῦς,n,----------,,φλοῦς,0
107389,φ01601,φλῦ,n,----------,,φλῦ,0
107390,φ01770,φλυακογραφία,n,n-s---fn1l,φλυακογραφίας,φλυακογραφία,0
107392,φ01772,φλύαξ,n,n-s---mn3e,φλύακος,φλύαξ,0
107393,φ01773,φλυαρέω,v,----------,,φλυαρέω,0
107394,φ01774,φλυάρημα,n,n-s---nn3t,φλυαρήματος,φλυάρημα,0
107395,φ01775,φλυαρία,n,n-s---fn1l,φλυαρίας,φλυαρία,0
107397,φ01777,φλυαροκοπέω,v,----------,,φλυαροκοπέω,0
107398,φ01778,φλυαροκοπία,n,n-s---fn1l,φλυαροκοπίας,φλυαροκοπία,0
107399,φ01779,φλυαρολογέω,v,----------,,φλυαρολογέω,0
107400,φ01780,φλυαρολογία,n,n-s---fn1l,φλυαρολογίας,φλυαρολογία,0
107401,φ01781,φλύαρος,n,n-s---mn2-,φλυάρου,φλύαρος,0
107403,φ01783,φλυάσσω,v,----------,,φλυάσσω,0
107404,φ01784,φλυδαρός,a,aps---mn1-,φλυδαρός φλυδαρά φλυδαρόν,φλυδαρός,0
107405,φ01785,φλυδάω,v,----------,,φλυδάω,0
107407,φ01787,φλυζογράφος,a,aps---cn2-,φλυζογράφος φλυζογράφος φλυζογράφον,φλυζογράφος,0
107408,φ01788,φλύζω,v,----------,,φλύζω,0
107409,φ01789,φλύκταινα,n,n-s---fn1s,φλύκταινας,φλύκταινα,0
107410,φ01790,φλυκταινίδιον,n,n-s---nn2-,φλυκταινιδίου,φλυκταινίδιον,0
107357,φ01735,φλόγωσις,n,n-s---fn3v,φλογωσέως,φλόγωσις,0
107415,φ01795,φλυκταίνωσις,n,n-s---fn3v,φλυκταινωσέως,φλυκταίνωσις,0
107416,φ01796,φλυκτίς,n,n-s---fn3d,φλυκτίδος,φλυκτίς,0
107417,φ01797,φλύος,n,n-s---nn3v,φλύεος,φλύος,0
107418,φ01798,φλύσις,n,n-s---fn3v,φλύσεως,φλύσις,0
107419,φ01799,φλύω,v,----------,,φλύω,0
107420,φ01806,φνεί,r,----------,,φνεί,0
107421,φ01810,φόα,n,n-p---nn2-,φόων,φόα,0
107423,φ01812,φοβερισμός,n,----------,,φοβερισμός,0
107424,φ01813,φοβεροδιακράτορες,n,----------,,φοβεροδιακράτορες,0
107426,φ01816,φοβεροποιέω,v,----------,,φοβεροποιέω,0
107427,φ01817,φοβερός,a,aps---mn1-,φοβερός φοβερά φοβερόν,φοβερός,0
107428,φ01815,φοβεροότης,n,n-s---fn3t,φοβεροότητος,φοβεροότης,0
107429,φ01818,φοβεροωπός,a,aps---cn2-,φοβεροωπός φοβεροωπός φοβεροωπόν,φοβεροωπός,0
107430,φ01819,φοβεροώψ,n,----------,,φοβεροώψ,0
107431,φ01820,φοβεσιστράτη,n,n-s---fn1e,φοβεσιστράτης,φοβεσιστράτη,0
107432,φ01821,φοβέστρατος,a,aps---cn2-,φοβέστρατος φοβέστρατος φοβέστρατον,φοβέστρατος,0
107433,φ01822,φοβέω,v,----------,,φοβέω,0
107434,φ01823,φόβη,n,n-s---fn1e,φόβης,φόβη,0
107435,φ01824,φόβημα,n,n-s---nn3t,φοβήματος,φόβημα,0
107436,φ01825,φοβητέον,n,----------,,φοβητέον,0
107438,φ01827,φοβητός,a,aps---mn1-,φοβητός φοβητή φοβητόν,φοβητός,0
107439,φ01828,φόβητρον,n,n-s---nn2-,φοβήτρου,φόβητρον,0
107440,φ01829,φοβίζω,v,----------,,φοβίζω,0
107442,φ01831,φοβόδιψος,a,aps---cn2-,φοβόδιψος φοβόδιψος φοβόδιψον,φοβόδιψος,0
107443,φ01832,φοβοειδής,a,aps---cn5s,φοβοειδής φοβοειδής φοβοειδές,φοβοειδής,0
107444,φ01833,φοβοθεΐα,n,n-s---fn1l,φοβοθεΐας,φοβοθεΐα,0
107445,φ01834,φοβοποιέω,v,----------,,φοβοποιέω,0
107446,φ01836,φόβος,n,n-s---mn2-,φόβου,φόβος,0
107447,φ01837,φοιβάζω,v,----------,,φοιβάζω,0
107448,φ01838,φοιβαίνω,v,----------,,φοιβαίνω,0
107452,φ01842,φοιβάστρια,n,n-s---fn1s,φοιβάστριας,φοιβάστρια,0
107453,φ01843,φοιβάω,v,----------,,φοιβάω,0
107454,φ01844,φοίβειος,a,aps---mn1-,φοίβειος φοίβεια φοίβειον,φοίβειος,0
107455,φ01845,φοίβη,n,n-s---fn1e,φοίβης,φοίβη,0
107457,φ01847,φοίβησις,n,n-s---fn3v,φοιβησέως,φοίβησις,0
107458,φ01848,φοιβητεύω,v,----------,,φοιβητεύω,0
107459,φ01849,φοιβητήρ,n,n-s---mn3r,φοιβητῆρος,φοιβητήρ,0
107460,φ01850,φοιβητής,n,n-s---mn1e,φοιβητού,φοιβητής,0
107462,φ01852,φοιβήτρια,n,n-s---fn1s,φοιβήτριας,φοιβήτρια,0
107463,φ01853,φοιβήτωρ,n,n-s---mn3r,φοιβήτορος,φοιβήτωρ,0
107559,φ01948,φοιτητήρ,n,n-s---mn3r,φοιτητῆρος,φοιτητήρ,0
107413,φ01793,φλυκταινόω,v,----------,,φλυκταινόω,0
107466,φ01835,φοῖβος,a,aps---mn1-,φοῖβος φοίβη φοῖβον,φοῖβος,0
107467,φ01856,φοί̈δες,n,----------,,φοί̈δες,0
107468,φ01857,φοίνα,n,----------,,φοίνα,0
107469,φ01858,φοινάς,n,n-s---fn3d,φοινάδος,φοινάς,0
107470,φ01859,φοινήεις,a,aps---mn4i,φοινήεις φοινήεσσα φοινήεν,φοινήεις,0
107471,φ01860,φοίνιγμα,n,n-s---nn3t,φοινίγματος,φοίνιγμα,0
107472,φ01861,φοινιγμός,n,----------,,φοινιγμός,0
107473,φ01862,φοινίζω,v,----------,,φοινίζω,0
107475,φ01865,φοινικαῖος,n,n-s---mn2-,φοινικαίου,φοινικαῖος,0
107477,φ01866,φοινικάρχέω,v,----------,,φοινικάρχέω,0
107478,φ01867,φοινικάρχης,n,n-s---mn1e,φοινικάρχου,φοινικάρχης,0
107479,φ01868,φοινικάρχια,n,n-s---fn1s,φοινικάρχιας,φοινικάρχια,0
107480,φ01869,φοινικάς,n,n-s---fn3d,φοινικάδος,φοινικάς,0
107483,φ01872,φοινίκειος,a,aps---cn2-,φοινίκειος φοινίκειος φοινίκειον,φοινίκειος,0
107484,φ01873,φοινικελίκτης,n,n-s---mn1e,φοινικελίκτου,φοινικελίκτης,0
107485,φ01874,φοινίκεος,n,----------,,φοινίκεος,0
107486,φ01875,φοινικεών,n,n-s---mn3n,φοινικεῶνος,φοινικεών,0
107487,φ01876,φοινίκη,n,n-s---fn1e,φοινίκης,φοινίκη,0
107489,φ01878,φοινικηί̈ς,n,n-s---fn3d,φοινικηιίδος,φοινικηί̈ς,0
107490,φ01879,φοινικηρόν,n,----------,,φοινικηρόν,0
107491,φ01880,φοινικίας,n,----------,,φοινικίας,0
107492,φ01881,φοινικίδιον,n,n-s---nn2-,φοινικιδίου,φοινικίδιον,0
107493,φ01882,φοινικίζω,v,----------,,φοινικίζω,0
107495,φ01884,φοινίκινος,a,aps---mn1-,φοινίκινος φοινικίνη φοινίκινον,φοινίκινος,0
107496,φ01885,φοινίκιον,n,n-s---nn2-,φοινικίου,φοινίκιον,0
107497,φ01886,φοινίκιος,a,aps---mn1-,φοινίκιος φοινίκια φοινίκιον,φοινίκιος,0
107498,φ01887,φοινικίς,n,n-s---fn3d,φοινικίδος,φοινικίς,0
107499,φ01888,φοινίκισμα,n,n-s---nn3t,φοινικίσματος,φοινίκισμα,0
107500,φ01889,φοινικιστής,n,n-s---mn1e,φοινικιστού,φοινικιστής,0
107501,φ01890,φοινικιστί,r,----------,,φοινικιστί,0
107502,φ01891,φοινικίτης,n,n-s---mn1e,φοινικίτου,φοινικίτης,0
107505,φ01894,φοινικοβατέω,v,----------,,φοινικοβατέω,0
107507,φ01896,φοινικογενής,a,aps---cn5s,φοινικογενής φοινικογενής φοινικογενές,φοινικογενής,0
107508,φ01897,φοινικογράφος,n,n-s---mn2-,φοινικογράφου,φοινικογράφος,0
107510,φ01899,φοινικόεις,a,aps---mn4i,φοινικόεις φοινικόεσσα φοινικόεν,φοινικόεις,0
107511,φ01900,φοινίκοθριξ,n,----------,,φοινίκοθριξ,0
107512,φ01901,φοινικοκρήδεμνος,a,aps---cn2-,φοινικοκρήδεμνος φοινικοκρήδεμνος φοινικοκρήδεμνον,φοινικοκρήδεμνος,0
107465,φ01855,φοιβονομέομαι,v,----------,,φοιβονομέομαι,0
107515,φ01904,φοινικόλοφος,a,aps---cn2-,φοινικόλοφος φοινικόλοφος φοινικόλοφον,φοινικόλοφος,0
107517,φ01906,φοινικοπαράδεισος,n,n-s---mn2-,φοινικοπαραδείσου,φοινικοπαράδεισος,0
107518,φ01907,φοινικοπάρηος,a,aps---cn2-,φοινικοπάρηος φοινικοπάρηος φοινικοπάρηον,φοινικοπάρηος,0
107520,φ01909,φοινικόπεδος,a,aps---cn2-,φοινικόπεδος φοινικόπεδος φοινικόπεδον,φοινικόπεδος,0
107521,φ01910,φοινικόπεζα,n,n-s---fn1s,φοινικόπεζας,φοινικόπεζα,0
107522,φ01911,φοινικόπτερος,a,aps---cn2-,φοινικόπτερος φοινικόπτερος φοινικόπτερον,φοινικόπτερος,0
107523,φ01912,φοινικόπτερυξ,n,----------,,φοινικόπτερυξ,0
107524,φ01913,φοινικοπώλης,n,n-s---mn1e,φοινικοπώλου,φοινικοπώλης,0
107526,φ01915,φοινικόρυγχος,a,aps---cn2-,φοινικόρυγχος φοινικόρυγχος φοινικόρυγχον,φοινικόρυγχος,0
107527,φ01917,φοινικοσκελής,a,aps---cn5s,φοινικοσκελής φοινικοσκελής φοινικοσκελές,φοινικοσκελής,0
107528,φ01918,φοινικοστερόπας,n,n-s---mn1a,φοινικοστερόπου,φοινικοστερόπας,0
107531,φ01921,φοινίκουρος,n,n-s---mn2-,φοινικούρου,φοινίκουρος,0
107532,φ01916,φοινικοῦς,n,----------,,φοινικοῦς,0
107533,φ01922,φοινικοφαής,a,aps---cn5s,φοινικοφαής φοινικοφαής φοινικοφαές,φοινικοφαής,0
107534,φ01923,φοινικοφόρος,n,n-s---mn2-,φοινικοφόρου,φοινικοφόρος,0
107535,φ01924,φοινικόφυτος,a,aps---cn2-,φοινικόφυτος φοινικόφυτος φοινικόφυτον,φοινικόφυτος,0
107536,φ01925,φοινικτέον,n,----------,,φοινικτέον,0
107537,φ01926,φοινικτικῶς,r,----------,,φοινικτικῶς,0
107538,φ01927,φοινικτός,a,aps---mn1-,φοινικτός φοινικτή φοινικτόν,φοινικτός,0
107539,φ01928,φοινικών,n,n-s---mn3n,φοινικῶνος,φοινικών,0
107540,φ01978,φοῖνιξ,n,n-s---mn3-,φοίνικος,φοῖνιξ,0
107541,φ01929,φοίνιξις,n,n-s---fn3v,φοινιξέως,φοίνιξις,0
107543,φ01931,φοινίσκη,n,n-s---fn1e,φοινίσκης,φοινίσκη,0
107544,φ01932,φοίνισσα,n,----------,,φοίνισσα,0
107545,φ01933,φοινίσσω,v,----------,,φοινίσσω,0
107546,φ01934,φοινός,a,aps---mn1-,φοινός φοινή φοινόν,φοινός,0
107547,φ01935,φοινώδης,a,aps---cn3s,φοινώδης φοινώδης φοινώ͂δες,φοινώδης,0
107548,φ01937,φοί̈ς,n,----------,,φοί̈ς,0
107549,φ01938,φοιτάζω,v,----------,,φοιτάζω,0
107551,φ01940,φοιταλιεύς,n,n-s---mn3v,φοιταλιέως,φοιταλιεύς,0
107552,φ01941,φοιταλιώτης,n,n-s---mn1e,φοιταλιώτου,φοιταλιώτης,0
107553,φ01942,φοιτάς,n,n-s---fn3d,φοιτάδος,φοιτάς,0
107554,φ01943,φοιτάω,v,----------,,φοιτάω,0
107555,φ01944,φοιτεία,n,n-s---fn1l,φοιτείας,φοιτεία,0
107557,φ01946,φοίτησις,n,n-s---fn3v,φοιτησέως,φοίτησις,0
107514,φ01903,φοινικόλεγνος,a,aps---cn2-,φοινικόλεγνος φοινικόλεγνος φοινικόλεγνον,φοινικόλεγνος,0
107562,φ01951,φοιτίζω,v,----------,,φοιτίζω,0
107563,φ02102,φοῖτος,n,n-s---mn2-,φοίτου,φοῖτος,0
107564,φ01952,φοιτός,n,----------,,φοιτός,0
107566,φ01954,φολιδοειδής,a,----------,,φολιδοειδής,0
107567,φ01955,φολιδόομαι,v,----------,,φολιδόομαι,0
107570,φ01958,φολίς,n,n-s---fn3d,φολίδος,φολίς,0
107571,φ01959,φολκός,n,----------,,φολκός,0
107572,φ01960,φολλικώδης,a,----------,,φολλικώδης,0
107573,φ01961,φόλλις,n,n-s---mn3c,φόλλεως,φόλλις,0
107574,φ01962,φόλυες,n,----------,,φόλυες,0
107575,φ01963,φόναξ,n,n-s---mn3e,φόνακος,φόναξ,0
107576,φ01964,φονάω,v,----------,,φονάω,0
107578,φ01967,φόνευμα,n,----------,,φόνευμα,0
107579,φ01968,φονεύς,n,n-s---mn3v,φονέως,φονεύς,0
107580,φ01969,φονεύσιμος,a,aps---mn1-,φονεύσιμος φονευσίμη φονεύσιμον,φονεύσιμος,0
107581,φ01970,φονευτέον,n,----------,,φονευτέον,0
107582,φ01971,φονευτής,n,n-s---mn1e,φονευτού,φονευτής,0
107584,φ01973,φονεύτρια,n,n-s---fn1s,φονεύτριας,φονεύτρια,0
107585,φ01974,φονεύω,v,----------,,φονεύω,0
107586,φ01975,φονή,n,n-s---fn1e,φονῆς,φονή,0
107587,φ01976,φονής,n,----------,,φονής,0
107589,φ01979,φόνιος,a,----------,,φόνιος,0
107590,φ01980,φονοειδής,a,aps---cn5s,φονοειδής φονοειδής φονοειδές,φονοειδής,0
107591,φ01981,φονόεις,a,aps---mn4i,φονόεις φονόεσσα φονόεν,φονόεις,0
107592,φ01982,φονοκτονέω,v,----------,,φονοκτονέω,0
107593,φ01983,φονοκτονία,n,n-s---fn1l,φονοκτονίας,φονοκτονία,0
107596,φ01986,φονόρυτος,a,aps---cn2-,φονόρυτος φονόρυτος φονόρυτον,φονόρυτος,0
107597,φ01987,φόνος,n,n-s---mn2-,φόνου,φόνος,0
107598,φ01988,φονός,n,----------,,φονός,0
107599,φ01989,φονουργός,a,aps---cn2-,φονουργός φονουργός φονουργόν,φονουργός,0
